案號,類別,日期,問題,答案,來源網址
003146,農藥管理,2026/07/01,國內費洛蒙登記需要提交那些資料及報告？若欲同時登記進口的原體與自製的成品(裝載於釋放載具或定置於誘集器具)，原體使用量每年不超過375g/ha，分別需要提交那些資料及報告？是否需要比照化學農藥也得提供...,"一、我國申請農藥登記皆須依據農藥管理法第十條及農藥許可證申請及核發辦法第六條備齊相關資料，向主管機關農業部動植物防疫檢疫署申請。
二、費洛蒙依農藥性質為生物農藥類生化製劑，其申請登記應繳交之資料、報告請依農藥理化性及毒理試驗準則附件一之二、(三)及其附表，以及附件二之二、(三)及其附表五規定，以及農藥田間試驗準則之規定製備，請參閱防檢署網站查詢(網址：https://pesticide.aphia.gov.tw/information/Data/Law/1)。
三、依據農藥理化性及毒理試驗準則附件二之附表五備註1，原體使用量每年超過375g/ha須提供原體毒理資料，倘欲減免則須提交佐證說明每年不超過該限值。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=373ac59a4e9c434f85d6c2d2716272a5
003145,作物健康管理與諮詢,2026/06/17,施藥後，芋頭即發生葉片彎曲徵狀，葉片蜷曲但葉柄與莖部仍維持硬挺，無軟掉現象，基部亦無發生倒伏，是否為臨田除草劑汙染或其他可能原因？因葉柄與基部仍維持硬挺，有無方法可改善現有情形？,"若農友有臨田施藥飄散汙染造成作物發生藥害之疑慮，建議盡快至公所或縣政府農業處提出農作物農藥藥害診斷申請，縣政府將會同轄區的試驗改良場所現場勘查，確認作物生長異常為病蟲生物因子引起或是農藥等非生物因子引起，再行後續相關作業。檢附農作物農藥藥害診斷處理流程供您參考。 
文件
 
1150611-01-01-01ProFile.PDF
 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=868e69e06e4f0462f36c2ccd74d66387
003143,除草劑及植物生長調節劑應用,2026/06/17,使用未登記於作物上的殺草劑，是否有違反農藥管理法或相關規定？以下情境：1.水稻田的田埂，在水稻生長期間施用殺草劑2. 產品檢測結果符合衛生福利部農藥殘留容許，但施用於未登記的作物上。,"使用未登記於作物上的除草劑，即違反「農藥使用及農產品農藥殘留抽驗辦法」第三條「使用農藥者應按農藥標示記載之使用方法及範圍施藥」之規定。依中央主管機關公告，甲基合氯氟、嘉磷塞異丙胺鹽2種藥劑核准登記使用於水田畦畔雜草，為目前可用於防除水稻田的田埂的除草劑。相關施藥時期、劑量及注意事項如附件，請參考農藥資訊服務網(https://pesticide.aphia.gov.tw/information/)或植物保護資訊系統(https://otserv2.acri.gov.tw/PPM/menu.aspx) 。因此，無論該農產品是否符合衛福部訂定之農藥殘留容許量，農藥施用於未登記作物上，即違反「農藥使用及農產品農藥殘留抽驗辦法」第三條之規定。 
文件
 
1150612-01-01-01ProFile.PDF
 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=dd3c7dab0d3e02e0d85afb88de04f070
003142,教育推廣,2026/06/08,Goodenia (草海桐屬) 與 Calogyne (離根香屬) 是被歸類在同一個屬嗎？,"Goodenia（草海桐屬）與 Calogyne（離根香屬）目前在植物分類學上已被歸為同一個屬。Calogyne 為 Goodenia 的「異名（synonym）」，意即兩者指的是同一群植物。Calogyne 最初由植物學家 Robert Brown 於1810年發表為獨立的屬。後來經過分類學研究，將 Calogyne 併入 Goodenia。至於為何網路上仍查得Calogyne，原因是各網站更新速度不一致，不是所有網站都會即時跟進分類修訂。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=dd81e33719b00a42d95e0f8d2bc1a0e2
003141,病蟲害防治,2026/05/18,葡萄發生藥傷能夠驗出表面或者疤痕上殘留藥劑嗎？需要釐清使用藥劑有百克敏水懸劑、賽座滅水懸劑、達滅芬水懸劑、腈硫醌水分散性粒劑，都使用推薦倍數。,"本案建議先洽詢就近轄區農業改良場，協助判定葡萄表面或疤痕情形是否屬病蟲害、生理障礙或藥害，再評估是否有進行農藥殘留檢驗之必要。另因百克敏水懸劑、賽座滅水懸劑、達滅芬水懸劑及腈硫醌水分散性粒劑皆依推薦倍數使用，此類藥劑皆於登記前完成評估不致產生藥害。惟是否仍造成藥傷，尚需綜合施藥時期、環境條件及植株生育狀況等因素研判。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=27aa8a69dc17ba4cbc2dba4f9b3ba8a8
003140,教育推廣,2026/05/14,亞滅培農藥除了對標示蟲類有作用機制以外，對於消滅螞蟻，農藥行說比其他農藥更有效。如果可以，用粉末或水稀釋澆灌，那種比較好？,"農藥施用時應依產品標示所記載之使用方法及適用範圍正確使用。亞滅培成分農藥目前尚未核准登記用於防治螞蟻，因此不得作為標示外用途使用（政府公告之緊急防治用藥除外）。另因來信未敘明螞蟻種類，倘屬防治作物園區或非耕作農地之紅火蟻，亦應依主管機關公告之防治方式及合法核准農藥辦理。倘有居家螞蟻防治需求，建議選用已核准登記具防治螞蟻用途之環境衛生用藥，並依產品標示說明正確施用，以確保防治效果及使用安全。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=f3120b218e9152b5ad9d4810f8994d13
003139,農藥施用技術,2026/05/14,調制阿巴汀的時候看錯劑量，不慎將其稀釋倍數用成100倍，已經噴灑3天了，是否會對蕃茄及附近的葉菜類植物產生什麼影響？是否需要全部移除以防危害呢？,"1.需先釐清是噴在何種作物上，生長期為何' 使用之劑型是乳劑或水基乳劑'
2.施用面積是多少' 施用100倍，配製時使用的水量是多少' 加的藥量是多少' 如果可提供相關資訊，可以進一步評估配製超量多少'
3.如果施用作物是在苗期，可能會有藥害發生，如果沒有全株枯萎，可再觀察看看，新長出來的葉片是否正常了，如果正常了，就沒關係，但建議採收前，可考慮送質譜快檢檢驗確認是否超量'
4.如果已接近採收期，也是觀察是否有藥害發生' 如果沒有，要擔心農藥超量問題，建議可先送質譜快檢檢驗，確認殘留值差多少' 再考慮是否放棄採收'或延後採收'
5.若誤噴是在番茄上，請依照上述建議處理。
6.若是誤噴在番茄上，附近剛好有種葉菜類，要看看是否有飄散的問題' 同時也請查詢阿巴汀是否有登記使用在該種葉菜類上' 如果飄散不嚴重，且葉菜類可使用阿巴汀，若擔心殘留超量問題，建議可送質譜快檢檢驗，確認是否超量或違規使用(未登記使用之作物)。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=877890da1f8d5a18ba2f43b1e23ea8f2
003138,作物健康管理與諮詢,2026/05/14,青莧菜的莖部分出現鏽黃色，要怎麼處理？,"從照片初步研判並非病蟲害因子所造成，因根系看起來健康且無蟲孔等危害狀，且�蛈滼B過度集中於地際部接觸的位置，需了解過去所使用的肥料或相關處理才可進一步釐清成因。可來電本所病蟲害診斷中心討論。0800-022228 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=246c06096eb55c856b5273525af64e5c
003137,藥毒物檢驗,2026/05/12,執行農藥殘留檢驗時，針對「榴槤」與「波蘿蜜」作物樣品前處理之取樣部位為何？,"有關「榴槤」及「波羅蜜」之取樣部位與前處理方式，說明如下： 一、「榴槤」之取樣部位係歸類於第十一類。依據文獻所載之前處理資料，其參考來源為泰國相關文獻，而泰國亦為榴槤重要主產地之一。前處理方式為去除硬殼及去籽後進行取樣分析。 
二、「波羅蜜」之取樣部位亦歸類於第十一類，其前處理方式係參照國際通行作法，去除果柄後，將果皮及果肉整顆取樣分析。 
文件
 
1150507-01-01-01ProFile.PDF
 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=efa898ebeb166b09f7d629faae5e9ff5
003136,作物健康管理與諮詢,2026/05/08,火花離根香的學名有兩個Goodenia pilosa subsp. chinensis、Calogyne pilosa subsp. chinensis，差異為何？葉子、花、果的週期分別是幾月至幾月，...,"有關臺端詢問火花離根香乙案，查 Goodenia (草海桐屬) 與 Calogyne (離根香屬) 在分類學上皆屬於草海桐科 (Goodeniaceae)。根據現代植物分類 (依據分子生物學特徵等)，Calogyne 屬常被認為與 Goodenia 屬關係密切，甚至在部分較新的分類系統中被合併至 Goodenia 屬內。如 Calogyne pilosa subsp. Chinensis 即為 Goodenia pilosa subsp. chinensis 之舊稱 (或異名)，建議使用最新之學名。火花離根香為一年生草本植物，生長週期短，通常在春夏季發芽，花期為7至8月，果熟期為9至11月。依據生長地區不同，亦有紀錄其花果期為 11 月至翌年 3 月。火花離根香主要產於金門，倘仍有相關問題建議可洽金門縣林務所。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=1aa55fb0597b247db0375739300fd58b
